Headword,Definitions,Part of Speech,Semantic Group,Frequency Rank
aliquis -quae -quod,"some, any; si quis, si quid: anyone who, anything that",Pronoun,Pronouns/Interrogatives,77
tōtus -a -um,"whole, entire",Adjective: 1st and 2nd Declension,Measurement,78
sīc,"in this manner, thus; sīc ... ut: in the same way as",Adverb,Conjunctions/Adverbs,79
hīc,here; hinc: from here,Adverb,Place,80
iste ista istud,"that, that of yours; adv. istīc or istūc: over there; istinc: from over there",Pronoun,Pronouns/Interrogatives,81
urbs urbis f.,city,Noun: 3rd Declension,The City,82
petō petere petīvī petītum,"seek, aim at",Verb: 3rd Conjugation -ō,Motion,83
iubeō iubēre iussī iussum,"bid, order",Verb: 2nd Conjugation,Justice,84
vir virī m.,man,Noun: 2nd Declension,People,85
bellum -ī n.,war,Noun: 2nd Declension,War and Peace,86
vīta -ae f.,life,Noun: 1st Declension,Life and Being,87
homō hominis m.,human being,Noun: 3rd Declension,People,88
tempus -oris n.,time,Noun: 3rd Declension,Time,89
magis,more,Adverb,Conjunctions/Adverbs,90
prīmus -a -um,first,Adjective: 1st and 2nd Declension,Time,91
ubi,"where, when",Adverb,Place,92
hostis -is m./f.,"stranger, enemy",Noun: 3rd Declension,War and Peace,93
an,or (in questions); utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,94
mors mortis f.,death,Noun: 3rd Declension,Life and Being,95
tam,"so, so much",Adverb,Conjunctions/Adverbs,96
eō īre iī/īvī itum,go,Verb: Irregular,Motion,97
arma -ōrum n. pl.,"arms, weapons",Noun: 2nd Declension,War and Peace,98
superus -a -um,"situated above, upper",Adjective: 1st and 2nd Declension,Religion,99
"nisi, nī","if not, unless",Conjunction,Conjunctions/Adverbs,100
vincō vincere vīcī victum,conquer,Verb: 3rd Conjugation -ō,War and Peace,101
pōnō pōnere posuī positum,"put, place; put aside",Verb: 3rd Conjugation -ō,Verbs of Transport,102
dum,while (+ indic.); until (+ subj.); provided that (+ subj.),Conjunction,Time,103
sine,without (+ abl.),Preposition,Non-Directional Prepositions,104
tantus -a -um,"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth",Adjective: 1st and 2nd Declension,Measurement,105
teneō -ēre -uī tentum,"hold, keep",Verb: 2nd Conjugation,Other Senses,106
causa -ae f.,"cause, reason; causā + preceding genitive, for the sake of",Noun: 1st Declension,Speech/Oratory,107
sequor sequī secūtus sum,follow,Verb: Deponent,Motion,108
crēdō crēdere crēdidī crēditum,believe,Verb: 3rd Conjugation -ō,Education/Knowledge,109
accipiō -cipere -cēpī -ceptum,receive,Verb: 3rd Conjugation -iō,Social Life,110
virtūs -ūtis f.,"valor, manliness, virtue",Noun: 3rd Declension,Personality Traits/Characteristics,111
ante,"before, in front of (adv. and prep. + acc.)",Preposition,Time,112
quaerō -rere -sīvī -sītum,"seek, inquire",Verb: 3rd Conjugation -ō,Education/Knowledge,113
mittō mittere mīsī missum,"send, let go",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,114
vīs f.,"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength",Noun: 3rd Declension,War and Peace,115
amor -ōris m.,love,Noun: 3rd Declension,Love,116
caelum -ī n.,"sky, heavens",Noun: 2nd Declension,Air and Fire,117
sub,"under, close to (+acc. or abl.)",Preposition,Place,118
nox noctis f.,night,Noun: 3rd Declension,Lengths of Time,119
ita,"thus, so",Adverb,Conjunctions/Adverbs,120
rēgnum -ī n.,"kingship, kingdom",Noun: 2nd Declension,Geography,121
populus -ī m.,people,Noun: 2nd Declension,The City,122
autem,"moreover, but, however",Conjunction,Conjunctions/Adverbs,123
caput capitis n.,head,Noun: 3rd Declension,The Body,124
mare -is n.,sea,Noun: 3rd Declension,Earth and Water,125
quīdam quaedam quoddam,"a certain one, someone",Pronoun,Pronouns/Interrogatives,126
māter mātris f.,mother,Noun: 3rd Declension,The Household,127
prō,"for, on behalf of, in proportion to (+abl.)",Preposition,Non-Directional Prepositions,128
quisquis quidquid,"whoever, whichever",Pronoun,Pronouns/Interrogatives,129
vōs,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,130
capiō capere cēpī captum,seize,Verb: 3rd Conjugation -iō,War and Peace,131
quia,because,Conjunction,Conjunctions/Adverbs,132
dūcō dūcere dūxī ductum,"lead; uxōrem dūcere, marry",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,133
ergō,therefore,Conjunction,Conjunctions/Adverbs,134
nōmen -inis n.,name,Noun: 3rd Declension,Social Life,135
quidem,"certainly, at least",Adverb,Conjunctions/Adverbs,136
miser misera miserum,"wretched, pitiable",Adjective: 1st and 2nd Declension,Emotions,137
fortūna -ae f.,fortune,Noun: 1st Declension,Religion,138
novus -a -um,new,Adjective: 1st and 2nd Declension,Time,139
gravis -e,"heavy, serious",Adjective: 3rd Declension,Measurement,140
vel,"or else, or; even; vel ... vel: either … or",Conjunction,Conjunctions/Adverbs,141
longus -a -um,"long, far",Adjective: 1st and 2nd Declension,Measurement,142
parvus -a -um,small,Adjective: 1st and 2nd Declension,Measurement,143
relinquō -linquere -līquī -lictum,abandon,Verb: 3rd Conjugation -ō,Motion,144
saepe,often,Adverb,Time,145
fīō fierī factus sum,"become, happen, be done",Verb: Irregular,Life and Being,146
ōs ōris n.,"mouth, face",Noun: 3rd Declension,The Body,147
alter altera alterum,other of two,Adjective: 1st and 2nd Declension,Measurement,148
semper,"always, ever",Adverb,Time,149
deinde/dein,"then, next",Adverb,Time,150
ignis -is m.,fire,Noun: 3rd Declension,Air and Fire,151
modo,"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes",Adverb,Time,152
timeō -ēre -uī,"to fear, to dread",Verb: 2nd Conjugation,Emotions,153
scelus -eris n.,"crime, sin",Noun: 3rd Declension,Justice,154
dēbeō dēbēre dēbuī dēbitum,"owe, be obliged",Verb: 2nd Conjugation,Business/Money,155
vīvō vīvere vīxī vīctum,live,Verb: 3rd Conjugation -ō,Life and Being,156
fātum -ī n.,fate; death,Noun: 2nd Declension,Religion,157
vocō -āre,call,Verb: 1st Conjugation,Speech/Oratory,158
altus -a -um,"high, lofty; deep",Adjective: 1st and 2nd Declension,Geography,159
parō -āre,"prepare, acquire; parātus -a -um, ready",Verb: 1st Conjugation,Making/Doing,160
mīles -itis m.,soldier,Noun: 3rd Declension,War and Peace,161
medius -a -um,"middle, central",Adjective: 1st and 2nd Declension,Place,162
"inquam, inquis, inquit, inquiunt:",say (used with direct speech),Verb: Irregular,Speech/Oratory,163
post,after (adv. and prep. +acc.),Preposition,Time,164
audiō -īre -īvī/-iī -ītum,"hear, listen to",Verb: 4th Conjugation,Other Senses,165
putō -āre,"think, suppose",Verb: 1st Conjugation,Education/Knowledge,166
annus -ī m.,year,Noun: 2nd Declension,Lengths of Time,167
stō stāre stetī statum,stand,Verb: 1st Conjugation,Life and Being,168
vōx vōcis f.,"voice, utterance",Noun: 3rd Declension,Speech/Oratory,169
genus generis n.,"origin, lineage, kind",Noun: 3rd Declension,The Household,170
referō referre rettulī relātum,bring back; report,Verb: Irregular,Verbs of Transport,171
sciō -īre -īvī/-iī -ītum,know,Verb: 4th Conjugation,Education/Knowledge,172
mēns mentis f.,mind,Noun: 3rd Declension,The Body,173
reddō -dere -didī -ditum,"return, give back",Verb: 3rd Conjugation -ō,Verbs of Transport,174
licet licēre licuit licitum est,it is permitted (+ dat. + infin.),Verb: Impersonal,Justice,175
sōlus -a -um,"only, alone",Adjective: 1st and 2nd Declension,Measurement,176
fugiō fugere fūgī fugitum,"flee, escape",Verb: 3rd Conjugation -iō,Travel,177
ūllus -a -um,"any, anyone",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,178
nēmō,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)",Pronoun,Pronouns/Interrogatives,179
nātūra -ae f.,nature,Noun: 1st Declension,Life and Being,180
mōs mōris m.,"custom, habit; (pl.) character",Noun: 3rd Declension,Social Life,181
beneficium -ī n.,"service, kindness",Noun: 2nd Declension,Social Life,182
pectus -oris n.,"chest, breast",Noun: 3rd Declension,The Body,183
fidēs -eī f.,"trust, faith",Noun: 5th Declension,Personality Traits/Characteristics,184
patior patī passus sum,"permit, endure",Verb: Deponent,Verbs of Compelling/Directing,185
cūra -ae f.,"care, concern",Noun: 1st Declension,Love,186
īra irae f.,"wrath, anger",Noun: 1st Declension,Emotions,187
verbum -ī n.,word,Noun: 2nd Declension,Writing/Poetry,188
prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",Preposition,Place,189
parēns -ntis m./f.,parent,Noun: 3rd Declension,The Household,190
puer puerī m.,boy; slave,Noun: 2nd Declension,People,191
moveō -ēre mōvī mōtum,move,Verb: 2nd Conjugation,Motion,192
dolor -ōris m.,"pain, grief",Noun: 3rd Declension,Emotions,193
gēns gentis f.,"family, clan",Noun: 3rd Declension,The Household,194
modus -ī m.,"measure, manner, kind",Noun: 2nd Declension,Measurement,195
via -ae f.,"way, street",Noun: 1st Declension,Travel,196
quisque quaeque quidque,"each one, everyone",Pronoun,Pronouns/Interrogatives,197
amīcus -a -um,friendly; (as subst.) friend,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,198
pēs pedis m.,foot,Noun: 3rd Declension,The Body,199
imperium -ī n.,"command, power",Noun: 2nd Declension,War and Peace,200
labor -ōris m.,"toil, exertion",Noun: 3rd Declension,Business/Money,201
ingēns ingentis,"huge, enormous",Adjective: 3rd Declension,Measurement,202
tālis tāle,such,Adjective: 3rd Declension,Measurement,203
parum,too little,Adverb,Measurement,204
apud,"near, in the presence of (+acc.)",Preposition,Place,205
oculus -ī m.,eye,Noun: 2nd Declension,The Body,206
unda -ae f.,"wave, flowing water, water",Noun: 1st Declension,Earth and Water,207
itaque,"and so, therefore",Conjunction,Conjunctions/Adverbs,208
vultus -ūs m.,"look, expression, face",Noun: 4th Declension,The Body,209
cadō cadere cecidī cāsum,"fall, be killed",Verb: 3rd Conjugation -ō,Violence,210
nātus -ī m.,son,Noun: 2nd Declension,The Household,211
quis quid,who? what? which?,Pronoun,Pronouns/Interrogatives,212
trahō trahere trāxī trāctum,"drag, draw",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,213
sanguis -inis m.,blood,Noun: 3rd Declension,The Body,214
metus -ūs m.,"fear, dread",Noun: 4th Declension,Emotions,215
"tantum, tantummodo",only,Adverb,Measurement,216
cōnsilium -ī n.,"plan; council, group of advisors",Noun: 2nd Declension,The City,217
coniunx coniugis m./f.,"spouse, husband, wife",Noun: 3rd Declension,The Household,218
amō -āre,to love; amāns -ntis m./f.: lover,Verb: 1st Conjugation,Love,219
levis -e,"light, trivial",Adjective: 3rd Declension,Measurement,220
duo duae duo,two,Adjective: Numeral,Measurement,221
ferus -a -um,"wild, fierce; fera -ae f.: wild animal",Adjective: 1st and 2nd Declension,Animals/Plants,222
poena -ae f.,"penalty, punishment",Noun: 1st Declension,Justice,223
castrum -ī n.,"fortress, (regularly plural, castra camp)",Noun: 2nd Declension,War and Peace,224
frāter frātris m.,brother,Noun: 3rd Declension,The Household,225
haud,not,Adverb,Conjunctions/Adverbs,226
malus -a -um,"bad, evil",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,227
iaceō iacēre iacuī,lie,Verb: 2nd Conjugation,The House,228
līber lībera līberum,free; līberī (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,Justice,229
iter itineris n.,"journey, route",Noun: 3rd Declension,Travel,230
ferrum -ī n.,"iron, iron weapon or implement",Noun: 2nd Declension,Violence,231
spēs speī f.,hope,Noun: 5th Declension,Emotions,232
puella -ae f.,girl; girl-friend,Noun: 1st Declension,People,233
silva -ae f.,"forest, grove",Noun: 1st Declension,Animals/Plants,234
bene,well,Adverb,Personality Traits/Characteristics,235
fīnis -is m.,"end, boundary",Noun: 3rd Declension,Geography,236
gerō gerere gessī gestum,"bear, manage; bellum gerere, wage war",Verb: 3rd Conjugation -ō,War and Peace,237
ne (enclitic),interrogative particle attached to the emphatic word in a question,Adverb,Pronouns/Interrogatives,238
dux ducis m./f.,"leader, general",Noun: 3rd Declension,War and Peace,239
premō premere pressī pressum,"press, pursue, overwhelm",Verb: 3rd Conjugation -ō,War and Peace,240
dominus -ī m.; domina -ae f.,"household master, lord; mistress",Noun: 2nd Declension,The Household,241
mōns montis m.,mountain,Noun: 3rd Declension,Geography,242
uterque utraque utrumque,each of two,Conjunction,Measurement,243
saevus -a -um,"fierce, raging, wrathful",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,244
lītus -oris n.,shore,Noun: 3rd Declension,Geography,245
soleō -ēre -uī -itum,be accustomed,Verb: 2nd Conjugation,Personality Traits/Characteristics,246
mīlle (pl.) mīlia,thousand,Adjective: Numeral,Measurement,247
equus -ī m.,horse,Noun: 2nd Declension,Animals/Plants,248
dūrus -a -um,"hard, tough, harsh",Adjective: 1st and 2nd Declension,Other Senses,249
cōgō cōgere coēgī coāctum,drive together; compel,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,250
numquam,never,Adverb,Time,251
prīmum,"at first, firstly",Adverb,Time,252
morior morī mortuus sum,die,Verb: Deponent,Life and Being,253
carmen -inis n.,song,Noun: 3rd Declension,Writing/Poetry,254
tēlum -ī n.,"missile, weapon, spear",Noun: 2nd Declension,War and Peace,255
ratiō -ōnis f.,"method, plan, reason",Noun: 3rd Declension,Education/Knowledge,256
umbra -ae f.,"shade, shadow",Noun: 1st Declension,Vision,257
ars artis f.,skill,Noun: 3rd Declension,Education/Knowledge,258
tot,so many,Adverb,Measurement,259
dexter -tra -trum,right; dextera -ae f.: right hand,Adjective: 1st and 2nd Declension,Place,260
sīgnum -ī n.,"sign, standard, mark",Noun: 2nd Declension,War and Peace,261
laetus -a -um,"glad, joyful",Adjective: 1st and 2nd Declension,Emotions,262
quālis -e,of what kind? what?,Pronoun,Pronouns/Interrogatives,263
lēx lēgis f.,law,Noun: 3rd Declension,Justice,264
perīculum -ī n.,danger,Noun: 2nd Declension,Violence,265
nāscor nāscī nātus sum,be born,Verb: Deponent,Life and Being,266
exercitus -ūs m.,army,Noun: 4th Declension,War and Peace,267
pereō -īre -iī -itum,"perish, be lost",Verb: Irregular,Violence,268
ventus -ī m.,wind,Noun: 2nd Declension,Air and Fire,269
audeō audēre ausus sum,"dare, be eager",Verb: 2nd Conjugation,Personality Traits/Characteristics,270
contrā,"against, opposite (adv. and prep. +acc.)",Preposition,Place,271
aqua -ae f.,water,Noun: 1st Declension,Earth and Water,272
rapiō rapere rapuī raptum,"seize, tear away",Verb: 3rd Conjugation -iō,Violence,273
simul,at the same time,Adverb,Time,274
trīstis -e,"sad, solemn, grim",Adjective: 3rd Declension,Emotions,275
mūnus mūneris n.,"gift, offering; duty, obligation; (pl.) gladiatorial show",Noun: 3rd Declension,Social Life,276
iuvenis -is m.,youth,Noun: 3rd Declension,People,277
fāma -ae f.,"rumor, fame",Noun: 1st Declension,Speech/Oratory,278
adsum adesse affuī,be present,Verb: Irregular,Place,279
vērō,"in fact, certainly, without doubt",Adverb,Conjunctions/Adverbs,280
pār paris,equal,Adjective: 3rd Declension,Measurement,281
vester vestra vestrum,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,282
flūmen -inis n.,"stream, river",Noun: 3rd Declension,Earth and Water,283
quīcumque quaecumque quodcumque,"who-, whatever",Pronoun,Pronouns/Interrogatives,284
certus -a -um,"sure, fixed",Adjective: 1st and 2nd Declension,Measurement,285
fortis -e,brave,Adjective: 3rd Declension,Personality Traits/Characteristics,286
placeō placēre placuī placitum,please,Verb: 2nd Conjugation,Social Life,287
vertō vertere vertī versum,turn,Verb: 3rd Conjugation -ō,Motion,288
servō -āre,"save, watch over",Verb: 1st Conjugation,The Household,289
honor -ōris m.,"honor, glory; office, post",Noun: 3rd Declension,The City,290
dīgnus -a -um,worthy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,291
cūnctus -a -um,entire all together,Adjective: 1st and 2nd Declension,Measurement,292
tollō tollere sustulī sublātum,"raise up, destroy",Verb: Irregular,Violence,293
negō -āre,"deny, refuse",Verb: 1st Conjugation,Speech/Oratory,294
vetus veteris,old,Adjective: 3rd Declension,Time,295
eques equitis m.,"horseman, knight",Noun: 3rd Declension,War and Peace,296
trādō -dere -didī -ditum,"hand over, yield",Verb: 3rd Conjugation -ō,Business/Money,297
flamma -ae f.,"flame, fire",Noun: 1st Declension,Air and Fire,298
lūx lūcis f.,light of day,Noun: 3rd Declension,Air and Fire,299
unde,from where,Adverb,Place,300
redeō -īre -iī -itum,"go back, return",Verb: Irregular,Motion,301
sentiō sentīre sēnsī sēnsum,"perceive, feel, hear, see",Verb: 4th Conjugation,Other Senses,302
aurum -ī n.,gold,Noun: 2nd Declension,Business/Money,303
cēdō cēdere cessī cessum,"go, move; yield",Verb: 3rd Conjugation -ō,War and Peace,304
quō,"for which reason; to or in what place; to what end, for what purpose?",Adverb,Pronouns/Interrogatives,305
saxum -ī n.,"rock, cliff, crag",Noun: 2nd Declension,Earth and Water,306
ve,or (postpositive enclitic),Conjunction,Conjunctions/Adverbs,307
aetās -tātis f.,"age, time of life",Noun: 3rd Declension,Lengths of Time,308
fēlīx -īcis,lucky,Adjective: 3rd Declension,Personality Traits/Characteristics,309
loquor loquī locūtus sum,"speak, talk",Verb: Deponent,Speech/Oratory,310
quantus -a -um,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price",Pronoun,Pronouns/Interrogatives,311
coepī coepisse coeptus,begin,Verb: Irregular,Time,312
igitur,therefore,Conjunction,Conjunctions/Adverbs,313
iūs iūris n.,"right, justice, law",Noun: 3rd Declension,Justice,314
mūtō -āre,change,Verb: 1st Conjugation,Making/Doing,315
inveniō -venīre -vēnī -ventum,find; discover,Verb: 4th Conjugation,Travel,316
prīnceps -cipis,"first, chief; (as subst.) leader, person in charge",Adjective: 3rd Declension,The City,317
ops opis f.,"assistance, resources",Noun: 3rd Declension,Business/Money,318
recipiō -cipere -cēpī -ceptum,"take back, receive; sē recipere, betake oneself, go",Verb: 3rd Conjugation -iō,Verbs of Transport,319
sōl sōlis m.,sun,Noun: 3rd Declension,Air and Fire,320
cōnsul -ulis m.,consul,Noun: 3rd Declension,The City,321
orbis -is m.,circle; orbis terrārum: world,Noun: 3rd Declension,Geography,322
turba -ae f.,"crowd, uproar",Noun: 1st Declension,The City,323
ager agrī m.,field,Noun: 2nd Declension,Animals/Plants,324
solvō solvere solvī solūtum,"release, set sail",Verb: 2nd Conjugation,Travel,325
vitium -ī n.,"flaw, fault, crime",Noun: 2nd Declension,Justice,326
vulnus -eris n.,wound,Noun: 3rd Declension,Violence,327
inde,"from there, from then",Adverb,Place,328
senātus -ūs m.,senate,Noun: 4th Declension,The City,329
ūtor ūtī ūsus sum,"use, consume, employ (+ abl.)",Verb: Deponent,Making/Doing,330
cōpia -ae f.,abundance; (pl.) troops,Noun: 1st Declension,War and Peace,331
opus operis n.,work,Noun: 3rd Declension,Business/Money,332
colō colere coluī cultum,"inhabit, cultivate",Verb: 3rd Conjugation -ō,Animals/Plants,333
vōtum -ī n.,"solemn promise, vow; hope",Noun: 2nd Declension,Religion,334
iugum -ī n.,"yoke; ridge, chain of hills",Noun: 2nd Declension,Animals/Plants,335
quā,"where, how",Pronoun,Pronouns/Interrogatives,336
tellus tellūris f.,earth,Noun: 3rd Declension,Earth and Water,337
numerus -ī m.,"number, amount",Noun: 2nd Declension,Measurement,338
cōgnōscō -gnōscere -gnōvī -gnitum,"learn, understand",Verb: 3rd Conjugation -ō,Education/Knowledge,339
victor -ōris m.,conqueror,Noun: 3rd Declension,War and Peace,340
"satis, sat","enough, sufficient, sufficiently",Adverb,Measurement,341
patria -ae f.,"fatherland, country",Noun: 1st Declension,Geography,342
seu,whether; seu ... seu: whether ... or → sīve,Conjunction,Conjunctions/Adverbs,343
cāsus -ūs m.,"a fall; chance, accident",Noun: 4th Declension,Violence,344
frangō frangere frēgī frāctum,"break, shatter",Verb: 3rd Conjugation -ō,Violence,345
cīvitās -ātis f.,"citizenship, state",Noun: 3rd Declension,The City,346
nōscō nōscere nōvī nōtum,"learn, know",Verb: 3rd Conjugation -ō,Education/Knowledge,347
proelium -ī n.,battle,Noun: 2nd Declension,War and Peace,348
ēripiō -ripere -ripuī -reptum,"snatch away, rescue, save",Verb: 3rd Conjugation -iō,Verbs of Transport,349
mundus -ī m.,"world, universe, heavens",Noun: 2nd Declension,Earth and Water,350
cursus -ūs m.,"course, advance",Noun: 4th Declension,Athletics,351
vix,scarcely,Adverb,Conjunctions/Adverbs,352
nāvis -is f.,ship,Noun: 3rd Declension,Travel,353
lacrima -ae f.,tear,Noun: 1st Declension,Emotions,354
hūmānus -a -um,human,Adjective: 1st and 2nd Declension,People,355
mollis -e,"soft, yielding, gentle",Adjective: 3rd Declension,Other Senses,356
maneō manēre mānsī mānsum,remain,Verb: 2nd Conjugation,Travel,357
āgmen -minis n.,line of march,Noun: 3rd Declension,War and Peace,358
sīdus -eris n.,"star, constellation",Noun: 3rd Declension,Air and Fire,359
glōria -ae f.,"glory, fame",Noun: 1st Declension,Social Life,360
diū:,for a long time,Adverb,Time,361
sīve,whether; sīve ... sīve: whether ... or → seu,Conjunction,Conjunctions/Adverbs,362
tamquam,"so as, just as",Adverb,Conjunctions/Adverbs,363
fuga -ae f.,"flight, route",Noun: 1st Declension,Travel,364
tūtus -a -um,"safe, protected",Adjective: 1st and 2nd Declension,War and Peace,365
auris -is f.,ear,Noun: 3rd Declension,The Body,366
aliēnus -a -um,"foreign, strange",Adjective: 1st and 2nd Declension,Geography,367
hūc,to this place,Adverb,Place,368
taceō -ēre -uī -itum,"be silent; tacitus -a -um, silent",Verb: 2nd Conjugation,Other Senses,369
legiō -ōnis f.,legion,Noun: 3rd Declension,War and Peace,370
ostendō ostendere ostendī ostentum,"show, hold out",Verb: 3rd Conjugation -ō,Other Senses,371
